::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
::1|19076
